depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-massachusetts-archiver_20090912_0208.gml.50.apx,complete,10,1.828,1.49,1.04,0.45,26.5,complete,1.828,1.828
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-stb_138_162.apx,complete,10,86.611,85.36,83.67,1.69,68,complete,86.611,86.611
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-stb_161_74.apx,complete,10,87.834,86.6,83.32,3.28,74,complete,87.834,87.834
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-stb_199_128.apx,complete,10,15.877,15.14,14.95,0.19,46.6,complete,15.877,15.877
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-university-of-pretoria_20150805_1406.normalized.gml.80.apx,complete,10,1.028,0.8,0.67,0.13,25.8,complete,1.028,1.028
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,outof time,143,1204.534,1201.02,1183.88,17.14,3401.8,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,outof time,143,1204.907,1200.54,1185.83,14.71,2665.6,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.apx,outof time,143,1204.912,1200.14,1187.79,12.35,2567.6,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,complete,20,1094.056,1090.92,1086.86,4.06,1726,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-2-BA_140_30_5.apx,outof time,143,1200.822,1200.62,1195.77,4.85,279.4,outof time,8000,1600
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-2-comune-di-castellanza_20151218_2338.gml.80.apx,complete,10,45.261,44.03,43.21,0.82,41.5,complete,45.261,45.261
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-2-stb_287_202.apx,complete,10,409.612,408.2,386.92,21.28,163.3,complete,409.612,409.612
