backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#2.asp.stunst,complete,10,12.618,12.03,11.94,0.09,15.9,complete,12.618,12.618
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#30.asp.stunst,outof time,143,800.492,800.42,792.61,7.81,21.1,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#31.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#32.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#3.asp.stunst,outof time,143,801.024,800.84,789.73,11.11,22.6,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#4.asp.stunst,complete,10,2.476,2.22,2.21,0.01,15.4,complete,2.476,2.476
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#5.asp.stunst,outof time,143,800.41,800.34,792.62,7.72,21.5,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#6.asp.stunst,complete,10,2.236,1.98,1.95,0.03,15.2,complete,2.236,2.236
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#7.asp.stunst,complete,10,4.667,4.41,4.36,0.05,15.9,complete,4.667,4.667
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#8.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
